"Full ball, on off stump, leans well forward and drives to extra cover fence for four"
"tossed up, on middle and leg stump, turned to leg side"
"Bang! tossed up, went for the slog sweep and connected it well over deep midwicket fence for a six"
"tossed up, on off stump, pushed to cover"
""
""
"faster ball, outside off, pushed to point"
"short in length, outside off, cuts to deep point"
"short and wide outside off, cuts to deep point"
"short in length, on off stump,  angles it down to third man, fumbles in the field and Babar back for he 2nd run"
"on middle and leg stump, clipped away to deep square leg"
"full and wide outside off, slices it to deep point for a single"
"short in length, on leg stump, turned away down to fine leg for couple of runs"
"tossed up, outside off, pushed to point for a single"
"tossed up, on off stump, defended on the front foot"
"tossed up, on off stump, pushed to cover"
"on middle and leg stump, turned to midwicket"
"short in length, outside off, cuts to deep point"
"arm ball, just outside off, tries to cut and misses it"
"tossed up, outside off, driven to long-off"
"short in length, outside off, cuts to cover"
"arm ball, on middle and leg stump, turned to midwicket"
"arm ball, on off stump, pushed to cover"
"faster ball, on off stump, defended on the front foot"
"tossed up, outside off, driven to deep cover for a single"
"short in length, outside off, cuts to third man for couple of runs"
"Bang! Arm ball, on middle and leg stump, Wahab went for the slog sweep and connected well over deep midwicket fence for a six"
"on middle and leg stump, turned to deep midwicket for a single"
"That is Babar's ton! Tossed up, on middle and leg stump, worked away to leg side for a single"
"short in length, outside off, cuts to off side for a single"
"short in length, outside off, cuts to deep point, another good sliding save by fielder"
"short in length, outside off, pushed to off side"
"on middle and leg stump, turned to midwicket for  single"
"Dropped! Tossed up, went for the slog sweep, top edge went high in the air and Raza at deep midwicket dropped it"
"short in length, on leg stump, ulled to leg side"
"tossed up, on off stump, pushed to deep cover"
"short in length, on off stump, punched to cover"
"good length ball, on middle and leg stump, angling in, turned to midwicket"
"Short in length, on leg stump, Wahab pulls it away to backward square leg fence for four"
"fuller in length, on off stump, pushes to mid-off"
"full ball, on off stump, slices in the air well short of deep cover fielder"
"good length on leg stump, flicks it away to long leg for a single"
"That is a masssive shot! Slower ball, fuller in length, picks up early and deposited over deep midwicket fence for a six"
"short and wide outside off, cuts hard to point"
"short in length, just outside off, steers it down to third man and comes back for the 2nd run"
"short and wide outside off, cuts it away to deep point for couple more"
"good length ball, on off stump, punches to point"
"short in length, on leg stump, pulls to midwicket for a single"
"good length ball, just outside off and moves away, tries to cut and misses it"
