Commentary,Runs,Wickets
driven to mid-off,0,0
"well-directed short ball. 142 kph outside off, Renshaw sways out of the line",0,0
"back of a length on off, Renshaw gets on top of the bounce to defend",0,0
Handscomb comes down and drives towards cover,0,0
"short and wide outside off, slashed towards third man",2,0
"85 kph, flat and wide outside off, Handscomb misses his sweep. Wanted to drag that from wide outside off",0,0
driven to cover,0,0
runs to the pitch and drives towards cover again,0,0
"again, shimmies down for a drive with the spin to mid-off",0,0
"back of a length outside off, Renshaw gets on top of the bounce to defend towards gully",0,0
"short on off, Renshaw gets out of the line by swaying",0,0
"back of a length outside off, 140 kph. Too close to cut, Renshaw doesn't make contact",0,0
"slow, loopy full toss outside off. Renshaw waits, waits, waits, waits and then mis-times his drive back to the bowler. Wears a big smile. He's not the only one",0,0
"short and wide, poor delivery. Sliced behind point for four. Easy for a man who has been batting since morning",4,0
"good length outside off, punched to deep point",1,0
"84 kph, Renshaw comes down the crease and flicks to midwicket",0,0
inside-edged to square leg,0,0
"out comes the reverse sweep. Shot. Safe. No fielder there, gets a flighted delivery outside off and then just calmly executes the stroke through third man. This guy looking more assured in run-scoring now",4,0
"another well-executed stroke. Runs down and lofts the ball over mid-off. Got to the pitch, reducing the risk so much",4,0
worked through midwicket this time for one,1,0
comes down and defends towards silly point,0,0
"played into the leg side, a shorter length from Wahab",0,0
"another poor delivery, on the pads and clipped through square leg for one",1,0
"139 kph, full outside off from around the wicket, pushed to cover",0,0
"intentionally pushed this full and wide, Handscomb saw the length early, his eyes lit up. Transferred his weight into the ball and delectably drilled a square drive through point",4,0
dabbed to third man this time. Back of a length and wide. Imran dives to his left to save runs,2,0
"another steer to third man for one, 145 kph",1,0
